URI;CanÃ§Ã³;IntÃ¨rpret;Any de publicaciÃ³
spotify:track:2zMJN9JvDlvGP4jB03l1Bz;Hot Stuff;Donna Summer;1979
spotify:track:7HKxTNVlkHsfMLhigmhC0I;Call Me;Blondie;1980
spotify:track:0vOkmmJEtjuFZDzrQSFzEE;Hit Me With Your Best Shot;Pat Benatar;1980
spotify:track:52Rp3xBJFYYdmpgzDy0Quf;The Tide Is High;Blondie;1980
spotify:track:2id8E4WvczfKHB4LHI7Np3;Edge of Seventeen;Stevie Nicks;1981
spotify:track:66LhCsc06aTa2Ig7iYPDSP;Stevie Nicks, Tom Petty and the Heartbreakers;Stop Draggin' My Heart Around;1981
spotify:track:1mskmld5ZKEhRaNvYVPoqZ;Gloria;Laura Branigan;1982
spotify:track:2EGaDf0cPX789H3LNeB03D;Cruel Summer;Bananarama;1983
spotify:track:4y1LsJpmMti1PfRQV9AWWe;Girls Just Want to Have Fun;Cyndi Lauper;1983
spotify:track:4k6ktr10Hczmh55NY3LfJy;Holiday;Madonna;1983
spotify:track:4p1PizAGdglm2sVvPuFPWs;Love Is A Battlefield;Pat Benatar;1983
spotify:track:6sleEAnBH0sZMe0pOQNidG;Stand Back;Stevie Nicks;1983
spotify:track:6YytY6PPvAEp1MluJ49nP0;Better Be Good to Me;Tina Turner;1984
spotify:track:1ZPlNanZsJSPK5h9YZZFbZ;Like a Virgin;Madonna;1984
spotify:track:22sLuJYcvZOSoLLRYev1s5;Material Girl;Madonna;1984
spotify:track:623ZeL2lWuz5v03TVkRBZa;Private Dancer - Single Edit;Tina Turner;1984
spotify:track:6JNJERZGJwDVgkmbohBw7u;Self Control;Laura Branigan;1984
spotify:track:7o9uu2GDtVDr9nsR7ZRN73;Time After Time;Cyndi Lauper;1984
spotify:track:4kOfxxnW1ukZdsNbCKY9br;What's Love Got to Do with It;Tina Turner;1984
spotify:track:7Di7t9yGoxdZRLAt5a4pi0;Manic Monday;The Bangles;1986
spotify:track:6A8OnjnpShshNpcqWtZRjr;Papa Don't Preach;Madonna;1986
spotify:track:2A6yzRGMgSQCUapR2ptm6A;True Colors;Cyndi Lauper;1986
spotify:track:4XX1pFUkQOZTYp6Hb6a6Ae;Venus;Bananarama;1986
spotify:track:1Jwc3ODLQxtbnS8M9TflSP;Walk Like an Egyptian;The Bangles;1986
spotify:track:54b8qPFqYqIndfdxiLApea;Alone;Heart;1987
spotify:track:0P2vAvvWni2tNXOdbH3JFk;Hazy Shade of Winter;The Bangles;1987
spotify:track:7yPwc5aPWLWjO37iAey7Ww;I Heard a Rumour;Bananarama;1987
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj;I Wanna Dance with Somebody (Who Loves Me);Whitney Houston;1987
spotify:track:2qjWA8QruRCkoFZUQJR4SQ;Love in the First Degree;Bananarama;1987
spotify:track:5MoDQWMDMaAGDEiWsJfeCi;The Bangles;Eternal Flame;1988
spotify:track:4OeFQtRyT7vsLnRTv7t8YT;The Best;Tina Turner;1989
spotify:track:5GHY1DFWKz3Prg2V0Iodqo;Nothing Compares 2 U;SinÃ©ad O'Connor;1990
spotify:track:27QvYgBk0CHOVHthWnkuWt;Vogue;Madonna;1990
spotify:track:28jaG0nLqlijtHGQzZqGWK;Massive Attack, Shara Nelson;Unfinished Sympathy;1991
spotify:track:4JGKZS7h4Qa16gOU3oNETV;Dreams;The Cranberries;1992
spotify:track:0gEyKnHvgkrkBM6fbeHdwK;Linger;The Cranberries;1993
spotify:track:0jWgAnTrNZmOGmqgvHhZEm;What's Up?;4 Non Blondes;1993
spotify:track:53LZqMzQEnjBkFXPqOq0cD;Connection;Elastica;1994
spotify:track:49t1GWE6ZiEoBgN92oMDdM;Doll Parts;Hole;1994
spotify:track:3yMFBuIdPBdJkkzaPBDjKY;Miss World;Hole;1994
spotify:track:49wOjOkS4pBK3PQnPnNYjb;Zombie;The Cranberries;1994
spotify:track:5nAbScZezN0S3vbHdwyzws;Hand In My Pocket;Alanis Morissette;1995
spotify:track:2VUNvavGGOkewr5wB3WFJg;Only Happy When It Rains;Garbage;1995
