Pagina_QR,Spotify_URI,Info_Canco
19,https://www.youtube.com/watch?v=j2W4sAVjK6Y,No detectat
19,https://www.youtube.com/watch?v=rgi3x1T2178,No detectat
21,https://www.youtube.com/watch?v=xiWtqVtd1Oo,Bailando | 1995
21,https://www.youtube.com/watch?v=lTxGto9ADx0,Déjame | 1980
21,https://www.youtube.com/watch?v=ihE74nG8ioc,El Venao | 1995
21,https://www.youtube.com/watch?v=G8yKzRSpT2s,No detectat
21,https://www.youtube.com/watch?v=yR_9e1yo9uU,No detectat
21,https://www.youtube.com/watch?v=Iw-GwOdMVes,No detectat
21,https://www.youtube.com/watch?v=hLjAU4LWCqI,No detectat
21,https://www.youtube.com/watch?v=stYs4VQBbrE,No detectat
21,https://www.youtube.com/watch?v=x3G4VFThbEg,No detectat
21,https://www.youtube.com/watch?v=6BmGWjmtHZA,No detectat
23,https://www.youtube.com/watch?v=Gk8B56qOPm4,Desátame | 1997
23,https://www.youtube.com/watch?v=oApqXiCbqjo,Nunca Debí | Enamorarme
23,https://www.youtube.com/watch?v=WgEJCtsvxOQ,No detectat
23,https://www.youtube.com/watch?v=LxrUkFQHYpg,No detectat
23,https://www.youtube.com/watch?v=jpTOqGZCw10,No detectat
23,https://www.youtube.com/watch?v=hdQ99wLYc2g,No detectat
23,https://www.youtube.com/watch?v=YVU3Kvrlg5Y,No detectat
23,https://www.youtube.com/watch?v=POePrzXBI9Q,No detectat
23,https://www.youtube.com/watch?v=kYnsdmcaPDk,No detectat
23,https://www.youtube.com/watch?v=H-Rj1IYUe0U,No detectat
23,https://www.youtube.com/watch?v=rgoncqoPy7Y,No detectat
23,https://www.youtube.com/watch?v=N-6R0usliNU,No detectat
25,https://www.youtube.com/watch?v=S4ZqO5Zq9QY,vez | 1997
25,https://www.youtube.com/watch?v=wtpTCWF2fjk,Querer | 1994
25,https://www.youtube.com/watch?v=LS04M9Mz26E,No detectat
25,https://www.youtube.com/watch?v=wSCUV7ysBbI,No detectat
