Spotify;Titol;Cantant;Any;Tipus
spotify:track:3JFFnk9XQ9PKNd6ueBc2RK;Malo;Bebe;2004;Bàsic
spotify:track:06hsdMbBxWGqBO0TV0Zrkf;Cotton Eye Joe;Rednex;1994;Bàsic
spotify:track:2vwlzO0Qp8kfEtzTsCXfyE;Wrecking Ball;Miley Cyrus;2013;Bàsic
spotify:track:5ZrDlcxIDZyjOzHdYW1ydr;Barbie Girl;Aqua;1997;Bàsic
spotify:track:5jE48hhRu8E6zBDPRSkEq7;All About That Bass;Meghan Trainor;2015;Bàsic
spotify:track:6mUQ6NW9WRcCuSsi4kzdlf;Un Rayo de Sol;Los Diablos;2013;Bàsic
spotify:track:4SGBuq37Ol4HJr7pQqFMKa;I Got You Babe;Sonny & Cher;1965;Bàsic
spotify:track:3yzHIAzk3zVE1WgspS8W21;Vivir Así Es Morir de Amor;Camilo Sesto;1978;Bàsic
spotify:track:2LScqpywMqGcnum6nNaxXX;Yes Sir, I Can Boogie;Baccara;1998;Bàsic
spotify:track:0bEA0mMgXheXnahvIbIQfg;Bailando - Spanish Version;Enrique Iglesias, Descemer Bueno, Gente De Zona;2015;Bàsic
spotify:track:3DamFFqW32WihKkTVlwTYQ;Fireflies;Owl City;2009;Bàsic
spotify:track:11mwFrKvLXCbcVGNxffGyP;Genie In a Bottle;Christina Aguilera;1999;Bàsic
spotify:track:6pPWRBubXOBAHnjl5ZIujB;The Best;Tina Turner;1989;Bàsic
spotify:track:33LC84JgLvK2KuW43MfaNq;"My Heart Will Go On - Love Theme from ""Titanic""";Céline Dion;1997;Bàsic
spotify:track:1Hud0EePGdcqcHIIDksq3R;Volando Voy;Kiko Veneno;1992;Bàsic
spotify:track:4sCSUQnWQ6HJsOMjfPicdn;Danza Kuduro;Don Omar, Lucenzo;2011;Bàsic
spotify:track:1mXuMM6zjPgjL4asbBsgnt;Firework;Katy Perry;2010;Bàsic
spotify:track:6120uJUyg6QDzaAJUosTx5;Knock On Wood;Amii Stewart;2012;Bàsic
spotify:track:1FjyT8FTmnvelt4dNwp2Jx;Chacachá del tren (remastered);Hermanas Fleta;2005;Bàsic
spotify:track:5JOVSWohrjXW0BFTboh8XO;Don't Go;Yazoo;1982;Bàsic
spotify:track:7idTMG6EKZy0531lIx8RJ5;"Rigoletto: ""La Donna E' Mobile""";Enrico Caruso;2011;Bàsic
spotify:track:6habFhsOp2NvshLv26DqMb;Despacito;Luis Fonsi, Daddy Yankee;2019;Bàsic
spotify:track:4CeeEOM32jQcH3eN9Q2dGj;Smells Like Teen Spirit;Nirvana;1991;Bàsic
spotify:track:2i7SlECYIAsT72FpLUU1Uj;Me Gustas Mucho;Rocío Dúrcal;1992;Bàsic
spotify:track:1kXTqAV4IshAbOQpWl9PkE;Hay que venir al sur;Raffaela Carrá;2013;Bàsic
spotify:track:0UAJH0k4k3slcE83a9UGCe;Lola;The Kinks;1970;Bàsic
spotify:track:6z5Xrx58p5Bs18RIe6KXbI;Lo Que Pasó, Pasó;Daddy Yankee;2004;Bàsic
spotify:track:0wAyDBh0ujohCsYeXBtDLF;In the Mood - 2006 Remastered Version;Glenn Miller;1939;Bàsic
spotify:track:1hj6nYHeGclSY0VNTHMi27;Amante Bandido;Miguel Bosé;1984;Bàsic
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw;Closer;The Chainsmokers, Halsey;2016;Bàsic
spotify:track:1c0zagykmGPDYuxJeDqZhJ;World Hold on (Children of the Sky) [Radio Edit];Bob Sinclar, Steve Edwards;2006;Bàsic
spotify:track:6dHTkQYY3zdR9i9Nj0IGVW;"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix";Reel 2 Real, The Mad Stuntman, Erick Morillo;1994;Bàsic
spotify:track:5tsDJt6Riyi26vowpb6FLs;Tu Enemigo;Pablo López, Juanes;2015;Bàsic
spotify:track:4QlzkaRHtU8gAdwqjWmO8n;Friday I'm In Love;The Cure;1992;Bàsic
spotify:track:7egg6pLQbewWGalcr241Rz;Tengo una Debilidad;Antonio Machín;2012;Bàsic
spotify:track:0M2tanh26PWePnaGVV3h3y;Salta!!!;Tequila;1981;Bàsic
spotify:track:77eDrs7w2utSdbBdpbefol;No me importa nada;Luz Casal;1989;Bàsic
spotify:track:1F43XlPBiwAUUIhrUGzylO;Never Ending Story;Limahl;2009;Bàsic
spotify:track:0Uzf6J45f8K4qaVppjVb6N;Mi Carro;Manolo Escobar;1991;Bàsic
spotify:track:4PRJD9T23GQKQYKhJQcGGY;Aquí No Hay Playa;The Refrescos;1989;Bàsic
spotify:track:1OxcIUqVmVYxT6427tbhDW;Fly Away;Lenny Kravitz;1998;Bàsic
spotify:track:6kWJvPfC4DgUpRsXKNa9z9;All That She Wants;Ace of Base;1993;Bàsic
spotify:track:2YWjW3wwQIBLNhxWKBQd16;Lean On (feat. MØ & DJ Snake);Major Lazer, MØ, DJ Snake;2015;Bàsic
spotify:track:7aQjPecQdIuNd1sz3KCDhD;Lovefool;The Cardigans;1996;Bàsic
spotify:track:6Tnnk7MAnZiDx67DJN2hnx;Mi gran noche;Raphael;1967;Bàsic
spotify:track:5zHvsFZoCzLmhbRbYDkg42;La Revolución Sexual;La Casa Azul;2007;Bàsic
spotify:track:3cbV252akVZInSvJk7jAYX;Flashdance...What a Feeling - Radio Edit;Irene Cara;1983;Bàsic
spotify:track:4w1lzcaoZ1IC2K5TwjalRP;A Thousand Miles;Vanessa Carlton;2002;Bàsic
spotify:track:4oCGALJSQZxLnsnPPgShln;Veneno en la Piel;Radio Futura;1990;Bàsic
spotify:track:2uQPeyP4Y15jrlJbc5SRwm;Soy minero;Antonio Molina;1996;Bàsic
spotify:track:4kYdaN5ECfrCPPuUUiCiTr;Que Hace una Chica Como Tu en un Sitio Como Este;Burning;2013;Bàsic
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;Los Del Rio;1993;Bàsic
spotify:track:1QEEqeFIZktqIpPI4jSVSF;More Than a Feeling;Boston;1976;Bàsic
spotify:track:1w2Nnj1HEUgoOglVRWfZj8;Me cuesta tanto olvidarte;Mecano;1986;Bàsic
spotify:track:27u17peWruKyUe7RfBglZC;El Reloj;Los Tres Caballeros;1994;Bàsic
spotify:track:5P1JgHeCLAgZJx9oiDccza;Chica YeYe;Conchita Velasco;2009;Bàsic
spotify:track:127QTOFJsJQp5LbJbu3A1y;Toosie Slide;Drake;2020;Bàsic
spotify:track:2JzZzZUQj3Qff7wapcbKjc;See You Again (feat. Charlie Puth);Wiz Khalifa, Charlie Puth;2015;Bàsic
spotify:track:4gphxUgq0JSFv2BCLhNDiE;Jailhouse Rock;Elvis Presley;1958;Bàsic
spotify:track:1B0BQaSRHxhI0AUlItY3LK;MALAMENTE - Cap.1: Augurio;ROSALÍA;2018;Bàsic
spotify:track:6DSvUZQdqtNfkJI4cAiUsM;The Twist;Chubby Checker;1962;Bàsic
spotify:track:2EM9zpAc7PVeoAydmbfVIL;La Camisa Negra;Juanes;2004;Bàsic
spotify:track:1Qo29QfhrhhhoniBr1WCDq;Que Nadie;Manuel Carrasco, Malú;2009;Bàsic
spotify:track:6buqYaAyimysMjE8yuiaXy;Cuéntame;Formula V;1985;Bàsic
spotify:track:5haXbSJqjjM0TCJ5XkfEaC;I Got You (I Feel Good);James Brown & The Famous Flames;1966;Bàsic
spotify:track:2xUl8Bp6eLddk5mdv8I2Wo;Cuando me siento bien;Efecto Pasillo;2015;Bàsic
spotify:track:1zusIxNqJu8i4g6P6hJ2Qa;Mercy;Duffy;2008;Bàsic
spotify:track:1nUsGqyLqbOAnAtduWGNOU;El baúl de los recuerdos;Karina;1970;Bàsic
spotify:track:1ExfPZEiahqhLyajhybFeS;The Lazy Song;Bruno Mars;2010;Bàsic
spotify:track:5DIovqjO8pCMkA6L1FXrXl;Estando Contigo;Conchita Bautista;2013;Bàsic
spotify:track:29opVIw8I1BOZntEn3Un2I;La Puerta de Alcalá;Ana Belén, Víctor Manuel;1979;Bàsic
spotify:track:6naxalmIoLFWR0siv8dnQQ;Oops!...I Did It Again;Britney Spears;2000;Bàsic
spotify:track:3ySFQwBgaHN2mlLxY6A0ic;You Can Get It If You Really Want;Jimmy Cliff;1995;Bàsic
spotify:track:6iNBM60VQtPUUhkKfwa5KV;It's My Life;Bon Jovi;2010;Bàsic
spotify:track:16k0xwujtU1eoSLEfofWQ8;Eloise;Tino Casal;1987;Bàsic
spotify:track:7aSxNjoVoAwNL7HDAKwGtC;¿Y Cómo Es Él?;José Luis Perales;1982;Bàsic
spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff;Call on Me - Radio Mix;Eric Prydz;2004;Bàsic
spotify:track:4waqcUQWdj0yH26STWl2Rq;Rosas;La Oreja de Van Gogh;2003;Bàsic
spotify:track:1z3ugFmUKoCzGsI6jdY4Ci;Like a Prayer;Madonna;2009;Bàsic
spotify:track:3G9RQLOSjsXVUDyQSv2PQR;Vivir Sin Aire;Maná;1992;Bàsic
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl;Killing Me Softly With His Song;Fugees, Ms. Lauryn Hill;1996;Bàsic
spotify:track:0OteyYh6inrfcil1XGwC3r;Bailando;Alaska Y Los Pegamoides;1982;Bàsic
spotify:track:2HpbDdD3JLpAPMJFYCeC6o;High (Remix);Maria Becerra, TINI, Lola Indigo;2020;Bàsic
spotify:track:4LFwNJWoj74Yd71fIr1W8x;Right Here Waiting;Richard Marx;1989;Bàsic
spotify:track:1suKCYjsR9rZKnFYM5uK1k;No Controles;Ole Ole;2010;Bàsic
spotify:track:5yqiverYlKEA0ly96HPq01;Flying Free - Original Mix;Pont Aeri, Marian Dacal;1999;Bàsic
spotify:track:2Uy6EhQXAYkXA6MohPgjpV;One More Time - Radio Edit [Short Radio Edit];Daft Punk;2000;Bàsic
spotify:track:6x4tKaOzfNJpEJHySoiJcs;Mambo No. 5 (a Little Bit of...);Lou Bega;1999;Bàsic
spotify:track:1PpOqYZsUCecuOfLELmgOI;Bésame Mucho;Emilio Tuero;2014;Bàsic
spotify:track:19CmuECYssqkPWANF4nLWM;Para No Verte Más;La Mosca Tse-Tse;2000;Bàsic
spotify:track:2dbaIpJoAk2hhrrX2ljKJo;Surfin' U.S.A. (Mono);The Beach Boys;1963;Bàsic
spotify:track:5zyrEv4F3FaLECI8TOKpFM;Nel Blu Dipinto Di Blu;Domenico Modugno;2008;Bàsic
spotify:track:4MzXwWMhyBbmu6hOcLVD49;DÁKITI;Bad Bunny, Jhayco;2020;Bàsic
spotify:track:5ddFjrPG8NgQQ6xlOQIVd2;Tú Me Dejaste De Querer;C. Tangana, Niño de Elche, La Húngara;2021;Bàsic
spotify:track:3QHMxEOAGD51PDlbFPHLyJ;Vivir Mi Vida;Marc Anthony;2013;Bàsic
spotify:track:72TFWvU3wUYdUuxejTTIzt;Work;Rihanna, Drake;2016;Bàsic
spotify:track:5WovBMPS14QCqKgBEM1PaO;Sobreviviré;Monica Naranjo;1994;Bàsic
spotify:track:0yUsNnKCxe7r68qzEjbOaB;Carolina;M-Clan;2018;Bàsic
spotify:track:51qi5dgc9CsotM87GmRkAX;Don't Leave Me This Way;Thelma Houston;1976;Bàsic
spotify:track:5jUA1njy3h6ynHLvPdEVHt;Disco Inferno;The Trammps;1976;Bàsic
spotify:track:79HTe42PihWUUq4BDjcuCq;Usted;Juan Magán, Mala Rodríguez;2018;Bàsic
spotify:track:1Jaah2tmN9Hv81A87KZ1MU;Torn;Natalie Imbruglia;1997;Bàsic
spotify:track:09lZ2Mx2NSpzy6KBpX2kDq;Gimme Hope Jo'Anna;Eddy Grant;2010;Bàsic
spotify:track:78WVLOP9pN0G3gRLFy1rAa;Piano Man;Billy Joel;1973;Bàsic
spotify:track:4MLBqAEzNN89o2M9h92Z26;Get Back - Remastered 2009;The Beatles;1970;Bàsic
spotify:track:08HeIb9BidFjKROf9ptln0;Eres Tú;Mocedades;1994;Bàsic
spotify:track:3XIEWK1V9n25PS9Vb6axj5;Born to Be Alive - The Original;Patrick Hernandez;1978;Bàsic
spotify:track:1Wrzhfa5bNlqvsnCztz190;Devuélveme a mi chica;Hombres G;1985;Bàsic
spotify:track:3XDeeP9wBZzGhIPZmLfEEx;Karma Chameleon;Culture Club;1983;Bàsic
spotify:track:1Jwc3ODLQxtbnS8M9TflSP;Walk Like an Egyptian;The Bangles;2004;Bàsic
spotify:track:4H1iMlEWKZmpKTHCZzDhju;You Can't Hurry Love;The Supremes;1966;Bàsic
spotify:track:3Th2of8xIYyImVLXUbzaTp;Tenia Tanto Que Darte;Nena Daconte;2008;Bàsic
spotify:track:0UY0JLj9kxOlgF6FHogCmX;Mala Vida;Mano Negra;1988;Bàsic
spotify:track:7lQWRAjyhTpCWFC0jmclT4;Gangsta's Paradise;Coolio, L.V.;1995;Bàsic
spotify:track:2knr7ikPt4l7bk92qS4ZXW;Euphoria;Loreen;2012;Bàsic
spotify:track:2wvmkXG4foIJ2xUiwLhBjA;Moving;Macaco;2009;Bàsic
spotify:track:3BdId1EhcMX7yAzwzQJLAD;Barcelona;Freddie Mercury, Montserrat Caballé;2016;Bàsic
spotify:track:3WMbD1OyfKuwWDWMNbPQ4g;Daddy Cool;Boney M.;1976;Bàsic
spotify:track:1r299qCKBLgUS9XJ9m1kEx;Moves Like Jagger;Maroon 5, Christina Aguilera;2015;Bàsic
spotify:track:3PQLYVskjUeRmRIfECsL0X;No Woman No Cry;Bob Marley & The Wailers;1974;Bàsic
spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;Te Estoy Amando Locamente;Las Grecas;1974;Bàsic
spotify:track:0TK2YIli7K1leLovkQiNik;Señorita;Shawn Mendes, Camila Cabello;2019;Bàsic
spotify:track:2goLsvvODILDzeeiT4dAoR;Believe;Cher;1998;Bàsic
spotify:track:5IVuqXILoxVWvWEPm82Jxr;Crazy In Love (feat. Jay-Z);Beyoncé, JAY-Z;2003;Bàsic
spotify:track:1kgBwPl0UUHz97Krp65zF4;Me encanta - I Love It;Nancys Rubias;2013;Bàsic
spotify:track:7mitXLIMCflkhZiD34uEQI;Party Rock Anthem;LMFAO, Lauren Bennett, GoonRock;2011;Bàsic
spotify:track:0DjSa6czo5ywsf6iCtZW5A;Cannabis;Ska-P;1996;Bàsic
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;El Secreto de las Tortugas;Maldita Nerea;2009;Bàsic
spotify:track:2tpWsVSb9UEmDRxAl1zhX1;Counting Stars;OneRepublic;2013;Bàsic
spotify:track:7BYqVvoXpQFhs4jJ0qqNZt;Entre dos tierras;Heroes Del Silencio;1990;Bàsic
spotify:track:1EjQRTG53jsinzk2xlVVJP;Enjoy the Silence - 2006 Remaster;Depeche Mode;1990;Bàsic
spotify:track:4wzt5Rrk3W98pHXAqutuJw;Talk;Coldplay;2005;Bàsic
spotify:track:3unsLiH5FXmaDWtT5Imolu;Fallin';Alicia Keys;2001;Bàsic
spotify:track:1ApXNkjfjxkSDoezO8Kh8g;La, La, La;Massiel;1966;Bàsic
spotify:track:7gEpTMp9MQc1uJwivtL37R;Do Wah Diddy Diddy;Manfred Mann;1964;Bàsic
spotify:track:3JOXwHPhtdRU3kYKcf64Gj;Pero a tu lado;Los Secretos;1995;Bàsic
spotify:track:3d9DChrdc6BOeFsbrZ3Is0;Under the Bridge;Red Hot Chili Peppers;1991;Bàsic
spotify:track:3U4isOIWM3VvDubwSI3y7a;All of Me;John Legend;2013;Bàsic
spotify:track:0OMRAvrtLWE2TvcXorRiB9;La Gozadera (feat. Marc Anthony);Gente De Zona, Marc Anthony;2016;Bàsic
spotify:track:1PZrHbJjt5t7dP9OGRxcD0;Dale Don Dale;Don Omar;2003;Bàsic
spotify:track:59bqZ237MW9CvFRLqu6Dgg;Te he echado de menos - Radio Edit;Pablo Alborán;2011;Bàsic
spotify:track:5U4pDBaeq2Jl2dKuWWUSsh;Ave María;David Bisbal;2002;Bàsic
spotify:track:5vj59ONIVbyhcrI8ZSwoRo;Sofia;Alvaro Soler;2016;Bàsic
spotify:track:4JOsL8WntMIwDeNQlKAwdA;Me Colé en una Fiesta;Mecano;1998;Bàsic
spotify:track:17qIyxyDWmNP7Rn11eprMt;Tequila;The Champs;1958;Bàsic
spotify:track:0PCGfA36HrVPmsBZJ57zOU;"Love Is All Around - From ""Four Weddings And A Funeral""";Wet Wet Wet;1995;Bàsic
spotify:track:1JSTJqkT5qHq8MDJnJbRE1;Every Breath You Take;The Police;1983;Bàsic
spotify:track:4unOsvr9C2NqI9aJXrxpCy;Sirenas;Taburete;2016;Bàsic
spotify:track:6zdXA5yUvKnoTJwyZCnYOM;Sabor de amor - Versión 1988;Danza Invisible;1988;Bàsic
spotify:track:3Ud6fFep5ZlXzRWw6Sm8no;Walk Of Life;Dire Straits;1985;Bàsic
spotify:track:5adqS3stLaSPAEOszOnpXG;DUELE EL CORAZON;Enrique Iglesias, Wisin;2021;Bàsic
spotify:track:5xzdDMhFYiuUONB0Mha9VS;The Locomotion;Little Eva;1962;Bàsic
spotify:track:2LsbizbOeNa4x6qsi2jAMb;La flaca;Jarabe De Palo;1996;Bàsic
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ;Corazón partío;Alejandro Sanz;1997;Bàsic
spotify:track:1s4hyUFWmLWiAamsclb4xA;See You Later, Alligator;Bill Haley & His Comets;1991;Bàsic
spotify:track:7EZC6E7UjZe63f1jRmkWxt;Zombie;The Cranberries;1994;Bàsic
spotify:track:1eCie6lwjb4crxeAvkRaSi;Y Nos Dieron las Diez;Joaquín Sabina;1992;Bàsic
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;1999;Bàsic
spotify:track:3uU6dqBjVKRTPis0RrTaT4;Las de la Intuición;Shakira;2005;Bàsic
spotify:track:5QhOF5HXgZ0OFUZSE5kEv1;Nada Fue Un Error;Coti, Andrés Calamaro;2003;Bàsic
spotify:track:1eRgClFGphd2MgpyIBsbfS;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988;Bàsic
spotify:track:3OeUlriM0EZHdWleJtjoVr;Got My Mind Set On You - Remastered 2004;George Harrison;1987;Bàsic
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW;María;Ricky Martin;1995;Bàsic
spotify:track:5dg7OfEwTVvUZfqt24ObwI;Sólo Se Vive una Vez;Azucar Moreno;1997;Bàsic
spotify:track:7e89621JPkKaeDSTQ3avtg;Sweet Home Alabama;Lynyrd Skynyrd;1974;Bàsic
spotify:track:7LpS82vPDLgZAHWRtWBBRj;Ni tú ni nadie;Alaska Y Dinarama;1984;Bàsic
spotify:track:5R8dQOPq8haW94K7mgERlO;Poker Face;Lady Gaga;2008;Bàsic
spotify:track:0Ouv1zi0SXDnFtREEsps4K;Flamenco;Los Brincos;1964;Bàsic
spotify:track:2LjiPAQOVazT8sRyXL3XRs;Informer;Snow;1993;Bàsic
spotify:track:6gMyJAtpnAOU92I9hjpSNe;Sueño Su Boca;Raul;2001;Bàsic
spotify:track:5zWZ9iNevP0397xB3jWV2z;Brother Louie;Modern Talking;1986;Bàsic
spotify:track:48i055G1OT5KxGGftwFxWy;Oh, Pretty Woman;Roy Orbison;1962;Bàsic
spotify:track:1k4kMMTPN5Yc0KdMxtMTuj;Los Chicos Con las Chicas;Los Bravos;1967;Bàsic
spotify:track:4Tv8mqQc83OsQVXO4I0FTA;Lloverá y yo veré;La Pegatina;2013;Bàsic
spotify:track:4awJGQ6TIS542X4XS7PWu7;A Tu Vera;Lola Flores;1991;Bàsic
spotify:track:20WaSPMyeIO7NntPpn1FM5;Desesperada;Marta Sánchez;1993;Bàsic
spotify:track:0KM2y796j63t5RHhvRUxld;Relax, Take It Easy;MIKA;2006;Bàsic
spotify:track:74anwTmdyvA3f8RUtCQqKD;Déjame;Los Secretos;1981;Bàsic
spotify:track:0Fyj9w0HVfjoxm9S8nGClt;Orinoco Flow;Enya;2001;Bàsic
spotify:track:57Y3UccJEJqT8w8RWkUAz0;Upside Down;Diana Ross;1980;Bàsic
spotify:track:4OSBTYWVwsQhGLF9NHvIbR;Rolling in the Deep;Adele;2011;Bàsic
spotify:track:4chpfrjIqrOPshlDU4ZrKe;Chica de ayer;Nacha Pop;1980;Bàsic
spotify:track:2DnJjbjNTV9Nd5NOa1KGba;You're So Vain;Carly Simon;1972;Bàsic
spotify:track:7H8zey5My6uNdD2TxeCb9F;Don't Speak;No Doubt;1995;Bàsic
spotify:track:35hfuechuOqaW31ogdauO7;It's In The Kiss (The Shoop Shoop Song);Betty Everett;2010;Bàsic
spotify:track:1ILbD4eWKWvg8ub5qJyBTP;Joyride;Roxette;1991;Bàsic
spotify:track:5xXYuYk2CzHfk3kLKYmRRb;Ni Una Sola Palabra;Paulina Rubio;2006;Bàsic
spotify:track:7j74lucZ59vqN67Ipe2ZcY;Maneater;Daryl Hall & John Oates;1982;Bàsic
spotify:track:0aGKNekx2JAxGzza802fnC;The Ketchup Song (Aserejé) - Spanish Version;Las Ketchup;2002;Bàsic
spotify:track:3Emr4aPhkNoMHPF5N5i6QD;Campanera;Ana Maria;1993;Bàsic
spotify:track:3N4DI1vuTSX1tz7fa2NQZw;Rehab;Amy Winehouse;2006;Bàsic
spotify:track:4qEHMJyER7OntYTtPsIT1W;11 Razones;Aitana;2020;Bàsic
spotify:track:44AyOl4qVkzS48vBsbNXaC;Can't Help Falling in Love;Elvis Presley;1961;Bàsic
spotify:track:3Fzlg5r1IjhLk2qRw667od;Dancing in the Moonlight;Toploader;2000;Bàsic
