Spotify;Títol;Artista;Any;Pel·lícula
spotify:track:6lanRgr6wXibZr8KgzXxBl;a thousand years;Christina Perri;2011;a thousand years
spotify:track:2vuzSRHcqyoAylvQNADhqQ;Dallas - Theme from the TV Series - Season 1;Dominik Hauser;2012;Dallas - Theme from the TV Series (Jerrold Immel)
spotify:track:6zW80jVqLtgSF1yCtGHiiD;The Shire;Howard Shore;2001;The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings
spotify:track:22yxHt6UqZpH7tP6W4PooI;For The Love Of A Princess;James Horner, London Symphony Orchestra;1995;Braveheart (Original Motion Picture Soundtrack)
spotify:track:09zrIoLQUv9PZRaP4jBC7T;Charlie's Angels: Theme from the TV Series;Dominik Hauser;2012;Charlie's Angels - Theme from the TV Series (Jack Elliot, Allyn Ferguson)
spotify:track:0Uy8lcDHiPDicBQ7rnDgcK;Princes Of The Universe - Remastered 2011;Queen;1986;A Kind Of Magic (2011 Remaster)
spotify:track:3X7uFMzJrEE0sxn62qd8Ch;Nothing's Gonna Stop Us Now;Starship;1987;No Protection
spotify:track:3STVHSJR6ZPGg9CI0aNP9q;"Theme - From ""Bonanza""";Ray Evans, Jerry Livingston, The City of Prague Philharmonic Orchestra, Nicholas Charles Raine;2010;100 Greatest Western Themes
spotify:track:779ooI3rBd0CLqCiiJmtVo;Hero (feat. Josey Scott);Chad Kroeger, Josey Scott;2003;Hero (feat. Josey Scott)
spotify:track:3WoSJF85H0qywD4qLp4HDd;The Godfather Waltz (Main Title);Nino Rota, Carlo Savina;1991;The Godfather
spotify:track:2cq26EEiqgUDP1VBKm9r6Z;When You Say Nothing At All;Ronan Keating;1999;Notting Hill
spotify:track:0bSHwuTOZVJUXWT03H9oD2;Succession (Main Title Theme);Nicholas Britell;2019;Succession: Season 1 (HBO Original Series Soundtrack)
spotify:track:5U3MkUWTpzj37A33GboDtv;Singin' In The Rain;Gene Kelly;1952;Singin' in the Rain (Original Motion Picture Soundtrack)
spotify:track:3CxmaZX0VbpEi1Sw4gMJcf;Dexter Main Title - Instrumental;Rolfe Kent;2007;Dexter Season 1
spotify:track:0BlMvHfyilCmgKrNUQabR6;Jai Ho;Sukhwinder Singh, Tanvi Shah, Mahalakshmi Iyer, Vijay Prakash;2009;Jai Ho A.R. Rahman
spotify:track:6i0V12jOa3mr6uu4WYhUBr;Heathens;Twenty One Pilots;2016;Heathens
spotify:track:5qxv6jEm7CMgP663kw09OP;The Office - Main Theme;Geek Music;2018;The Office - Main Theme
spotify:track:2ffVdgR2RUHIaENDIrlVvG;"Clubbed to Death (From ""The Matrix"")";Robert D.;2016;The Very Best of Sci-fi & Fantasy (From Sucker Punch to V for Vendetta) [Original Motion Picture Soundtrack]
spotify:track:7swocJUCUWTCiRUAU9oerC;Halloween Theme - Main Title;John Carpenter;2010;Halloween Motion Picture Soundtrack
spotify:track:21u2gUlh5Iun4ogGGqKVum;The Crown Main Title;Hans Zimmer;2016;The Crown: Season One (Soundtrack from the Netflix Original Series)
spotify:track:5CI1FP2Volc9wjz2MBZsGx;Fame;Irene Cara;1980;Fame (Original Motion Picture Soundtrack)
spotify:track:6CeCOC2zx1qS8mQNYHe6IM;Prologue;John Williams;2001;Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack
spotify:track:0OFknyqxmSQ42SoKxWVTok;Un Poco Loco;Anthony Gonzalez, Gael Garcia Bernal;2017;Coco (Original Motion Picture Soundtrack)
spotify:track:0HIwcD6kicYqmY0yGWdZId;Two and a Half Men (Manly Men);TV Tunesters;2012;Tv's Greatest Themes - 2000's
spotify:track:2TZbQZXOuR8osP2AK8yYMN;Theme From Jurassic Park;John Williams;1993;Jurassic Park
spotify:track:1qyJ6XpMHdsJD8pkiA7Qww;We Don't Need Another Hero (Thunderdome);Tina Turner;1991;Simply the Best
spotify:track:0y8kwqOr9OfodZeBOGPdPp;Deeper Underground;Jamiroquai;1998;Godzilla - The Album
spotify:track:4EaBMhUIOfnFEbIgqCfKbi;The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture;Andrew Lloyd Webber, Gerard Butler, Emmy Rossum;2004;The Phantom Of The Opera (Original Motion Picture Soundtrack)
spotify:track:1hwdPQtFHISvZ9SXMkNrIK;A Whole New World;Lea Salonga, Brad Kane, Disney;2004;Aladdin Special Edition
spotify:track:1pA7B5yYdhsopaWPCOKDac;"Diamonds Are a Girl's Best Friend (From ""Gentlemen Prefer Blondes"")";Marilyn Monroe;2012;Diamonds Are a Girl's Best Friend
spotify:track:55xly70WJY1cx5qsoogaqs;"Main Title (Theme From Jaws) - From ""Jaws""";John Williams;1975;Jaws (Music From The Original Motion Picture Soundtrack)
spotify:track:5qjVtEglMJOGe3xCCbjN25;Theme From Love Story;Francis Lai;1970;Love Story
spotify:track:6E0YEPzjMvUymYOvmDIgp4;The Moon Song - Studio Version Duet;Karen O, Ezra Koenig;2014;The Moon Song (Music From And Inspired By The Motion Picture Her)
spotify:track:4WnuHIJTLrFkAQdpryLDe7;Main Title (The Shining);Wendy Carlos, Rachel Elkind;1980;The Shining (Selections from the Original Motion Picture Soundtrack)
spotify:track:6VObnIkLVruX4UVyxWhlqm;Skyfall;Adele;2012;Skyfall
spotify:track:039tOvW37VzuntOfrUVS8L;Raindrops Keep Fallin' On My Head;Burt Bacharach;1987;Classics - Volume 23 (Reissue)
spotify:track:2bWizjWMdoTFUmMdaZsZsi;Christmas Is All Around - Soundtrack Version;Billy Mack;2003;Love Actually (Original Motion Picture Score)
spotify:track:1FlxqJmoZWS2q1uRlyZVur;"Main Title ""Somewhere in My Memory"" (From ""Home Alone"" Soundtrack)";John Williams;1990;Home Alone (Original Motion Picture Soundtrack)
